num_episodes,R_avg,n_examples
111.0,0.2974708080291748,5.0
112.0,0.2866472601890564,5.0
113.0,0.27681490778923035,5.0
114.0,0.26592662930488586,5.0
115.0,0.25668027997016907,5.0
116.0,0.2471267729997635,5.0
117.0,0.2380509376525879,5.0
118.0,0.22880558669567108,5.0
119.0,0.22141531109809875,5.0
120.0,0.21249687671661377,5.0
121.0,0.20482449233531952,5.0
122.0,0.24408327043056488,5.0
123.0,0.23592910170555115,5.0
124.0,0.22818264365196228,5.0
125.0,0.2212735116481781,5.0
126.0,0.2147098332643509,5.0
127.0,0.20847433805465698,5.0
128.0,0.20210061967372894,5.0
129.0,0.19649559259414673,5.0
130.0,0.23617081344127655,5.0
131.0,0.22886227071285248,5.0
132.0,0.22146914899349213,5.0
133.0,0.21489569544792175,5.0
134.0,0.20865091681480408,5.0
135.0,0.20117083191871643,5.0
136.0,0.19516229629516602,5.0
137.0,0.18945418298244476,5.0
138.0,0.18403147161006927,5.0
139.0,0.17811040580272675,5.0
140.0,0.17325489223003387,5.0
141.0,0.21409215033054352,5.0
142.0,0.20788754522800446,5.0
143.0,0.2019931674003601,5.0
144.0,0.19639350473880768,5.0
145.0,0.236073836684227,5.0
146.0,0.2283201366662979,5.0
147.0,0.22054913640022278,5.0
148.0,0.21280218660831451,5.0
149.0,0.20666207373142242,5.0
150.0,0.20082896947860718,5.0
151.0,0.24028752744197845,5.0
152.0,0.23277315497398376,5.0
153.0,0.2706345021724701,5.0
154.0,0.2611527740955353,5.0
155.0,0.25259512662887573,5.0
156.0,0.24446536600589752,5.0
157.0,0.2817420959472656,5.0
158.0,0.2717049717903137,5.0
159.0,0.2621697187423706,5.0
160.0,0.25270622968673706,5.0
161.0,0.24457091093063354,5.0
162.0,0.28184235095977783,5.0
163.0,0.31725022196769714,5.0
164.0,0.30588769912719727,5.0
165.0,0.295093297958374,5.0
166.0,0.28483861684799194,5.0
167.0,0.27509668469429016,5.0
168.0,0.26584184169769287,5.0
169.0,0.25619474053382874,5.0
170.0,0.2928850054740906,5.0
171.0,0.32774072885513306,5.0
172.0,0.31585368514060974,5.0
173.0,0.3401559889316559,5.0
174.0,0.32764819264411926,5.0
175.0,0.31576576828956604,5.0
176.0,0.3044774830341339,5.0
177.0,0.29375359416007996,5.0
178.0,0.2835659086704254,5.0
179.0,0.27343758940696716,5.0
180.0,0.29986071586608887,5.0
181.0,0.28936767578125,5.0
182.0,0.2789492607116699,5.0
183.0,0.3145017921924591,5.0
184.0,0.3032766878604889,5.0
185.0,0.29216283559799194,5.0
186.0,0.3270546793937683,5.0
187.0,0.31475192308425903,5.0
188.0,0.34356433153152466,5.0
189.0,0.3308861255645752,5.0
190.0,0.35443681478500366,5.0
191.0,0.3862149715423584,5.0
192.0,0.3709542155265808,5.0
193.0,0.3569065034389496,5.0
194.0,0.34356117248535156,5.0
195.0,0.3758831024169922,5.0
196.0,0.40658894181251526,5.0
197.0,0.4357594847679138,5.0
198.0,0.46347150206565857,5.0
199.0,0.4432503879070282,5.0
200.0,0.42513784766197205,5.0
201.0,0.4083809554576874,5.0
202.0,0.392461895942688,5.0
203.0,0.41738879680633545,5.0
204.0,0.4010193645954132,5.0
205.0,0.38546839356422424,5.0
206.0,0.37069496512413025,5.0
207.0,0.35666021704673767,5.0
208.0,0.34332719445228577,5.0
209.0,0.3707108199596405,5.0
210.0,0.35667526721954346,5.0
211.0,0.34289148449897766,5.0
212.0,0.3297968804836273,5.0
213.0,0.31780704855918884,5.0
214.0,0.351416677236557,5.0
215.0,0.33834585547447205,5.0
216.0,0.32547855377197266,5.0
217.0,0.31370460987091064,5.0
218.0,0.30251938104629517,5.0
219.0,0.32748842239379883,5.0
220.0,0.3156139850616455,5.0
221.0,0.349333256483078,5.0
222.0,0.33636659383773804,5.0
223.0,0.32404825091362,5.0
224.0,0.3573458194732666,5.0
225.0,0.38402852416038513,5.0
226.0,0.40492209792137146,5.0
227.0,0.38917598128318787,5.0
228.0,0.3742171823978424,5.0
229.0,0.35955631732940674,5.0
230.0,0.3816734850406647,5.0
231.0,0.36708980798721313,5.0
232.0,0.3982352912425995,5.0
233.0,0.37989258766174316,5.0
234.0,0.4103979468345642,5.0
235.0,0.439378023147583,5.0
236.0,0.4219091236591339,5.0
237.0,0.4053136706352234,5.0
238.0,0.3895479738712311,5.0
239.0,0.3745705783367157,5.0
240.0,0.4053420424461365,5.0
241.0,0.38871994614601135,5.0
242.0,0.3737839460372925,5.0
243.0,0.4045947194099426,5.0
244.0,0.4244599938392639,5.0
245.0,0.4433319866657257,5.0
246.0,0.42566537857055664,5.0
247.0,0.40888211131095886,5.0
248.0,0.3929379880428314,5.0
249.0,0.4178410768508911,5.0
250.0,0.4414990246295929,5.0
251.0,0.423924058675766,5.0
252.0,0.40722784399986267,5.0
253.0,0.43141645193099976,5.0
254.0,0.4143456220626831,5.0
255.0,0.39767831563949585,5.0
256.0,0.3818443715572357,5.0
257.0,0.4073021411895752,5.0
258.0,0.39143702387809753,5.0
259.0,0.37636515498161316,5.0
260.0,0.36204689741134644,5.0
261.0,0.34844455122947693,5.0
262.0,0.3634992837905884,5.0
263.0,0.34982430934906006,5.0
264.0,0.33683308959007263,5.0
265.0,0.3244914412498474,5.0
266.0,0.3127668797969818,5.0
267.0,0.2992808520793915,5.0
268.0,0.3135460615158081,5.0
269.0,0.30191874504089355,5.0
270.0,0.31929975748062134,5.0
271.0,0.34788477420806885,5.0
272.0,0.334990531206131,5.0
273.0,0.3677409887313843,5.0
274.0,0.3534039258956909,5.0
275.0,0.37582871317863464,5.0
276.0,0.36068227887153625,5.0
277.0,0.39214813709259033,5.0
278.0,0.3744778037071228,5.0
279.0,0.3602539002895355,5.0
280.0,0.39174118638038635,5.0
281.0,0.37665411829948425,5.0
282.0,0.3623214066028595,5.0
283.0,0.3937053084373474,5.0
284.0,0.41010552644729614,5.0
285.0,0.4391002357006073,5.0
286.0,0.42119520902633667,5.0
287.0,0.4041854441165924,5.0
288.0,0.43347615003585815,5.0
289.0,0.4158523380756378,5.0
290.0,0.3983401954174042,5.0
291.0,0.3824731707572937,5.0
292.0,0.3673994839191437,5.0
293.0,0.35352951288223267,5.0
294.0,0.3804030418395996,5.0
295.0,0.3938598334789276,5.0
296.0,0.37821683287620544,5.0
297.0,0.3622584342956543,5.0
298.0,0.34864550828933716,5.0
